community_1,community_2,community_3,community_4,community_5,year
,,,,,1960
,,,,,1961
0.0,1.0,0.0,0.0,0.0,1962
,,,,,1963
,,,,,1964
,,,,,1965
0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,1966
0.25,0.25,0.5,0.0,0.0,1967
0.0,0.5,0.5,0.0,0.0,1968
0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,1969
0.0,0.8,0.2,0.0,0.0,1970
0.25,0.5,0.25,0.0,0.0,1971
0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,1972
0.2222222222222222,0.4444444444444444,0.3333333333333333,0.0,0.0,1973
0.0,0.18181818181818182,0.7272727272727273,0.09090909090909091,0.0,1974
0.125,0.25,0.625,0.0,0.0,1975
0.0,0.4444444444444444,0.5555555555555556,0.0,0.0,1976
0.25,0.16666666666666666,0.5,0.08333333333333333,0.0,1977
0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,1978
0.05,0.15,0.8,0.0,0.0,1979
0.0,0.11764705882352941,0.8823529411764706,0.0,0.0,1980
0.2,0.0,0.8,0.0,0.0,1981
0.25,0.25,0.5,0.0,0.0,1982
0.0,0.0,1.0,0.0,0.0,1983
0.25,0.5,0.125,0.125,0.0,1984
0.0,0.75,0.25,0.0,0.0,1985
0.1875,0.1875,0.625,0.0,0.0,1986
0.1,0.7,0.2,0.0,0.0,1987
0.2,0.4,0.4,0.0,0.0,1988
0.35714285714285715,0.5714285714285714,0.07142857142857142,0.0,0.0,1989
0.25,0.3333333333333333,0.3333333333333333,0.08333333333333333,0.0,1990
0.0,0.5555555555555556,0.4444444444444444,0.0,0.0,1991
0.38461538461538464,0.3076923076923077,0.3076923076923077,0.0,0.0,1992
0.3333333333333333,0.2777777777777778,0.3888888888888889,0.0,0.0,1993
0.17647058823529413,0.4117647058823529,0.35294117647058826,0.058823529411764705,0.0,1994
0.4090909090909091,0.36363636363636365,0.22727272727272727,0.0,0.0,1995
0.36666666666666664,0.5333333333333333,0.1,0.0,0.0,1996
0.4864864864864865,0.40540540540540543,0.08108108108108109,0.0,0.02702702702702703,1997
0.4166666666666667,0.375,0.125,0.08333333333333333,0.0,1998
0.41935483870967744,0.2903225806451613,0.22580645161290322,0.06451612903225806,0.0,1999
0.5849056603773585,0.2641509433962264,0.0,0.07547169811320754,0.07547169811320754,2000
0.5172413793103449,0.27586206896551724,0.10344827586206896,0.10344827586206896,0.0,2001
0.21621621621621623,0.3783783783783784,0.16216216216216217,0.21621621621621623,0.02702702702702703,2002
0.38095238095238093,0.2857142857142857,0.16666666666666666,0.11904761904761904,0.047619047619047616,2003
0.4067796610169492,0.3559322033898305,0.0847457627118644,0.15254237288135594,0.0,2004
0.38095238095238093,0.38095238095238093,0.09523809523809523,0.14285714285714285,0.0,2005
0.45,0.21666666666666667,0.25,0.05,0.03333333333333333,2006
0.37209302325581395,0.3023255813953488,0.13953488372093023,0.18604651162790697,0.0,2007
0.5,0.25806451612903225,0.06451612903225806,0.11290322580645161,0.06451612903225806,2008
0.5869565217391305,0.2391304347826087,0.08695652173913043,0.043478260869565216,0.043478260869565216,2009
0.3484848484848485,0.21212121212121213,0.19696969696969696,0.18181818181818182,0.06060606060606061,2010
0.5,0.16071428571428573,0.16071428571428573,0.07142857142857142,0.10714285714285714,2011
0.5865384615384616,0.125,0.18269230769230768,0.07692307692307693,0.028846153846153848,2012
0.47560975609756095,0.13414634146341464,0.1951219512195122,0.12195121951219512,0.07317073170731707,2013
0.525,0.2125,0.1625,0.0875,0.0125,2014
0.4533333333333333,0.16,0.24,0.10666666666666667,0.04,2015
0.6326530612244898,0.10204081632653061,0.1836734693877551,0.061224489795918366,0.02040816326530612,2016
0.46938775510204084,0.08843537414965986,0.32653061224489793,0.09523809523809523,0.02040816326530612,2017
0.4293785310734463,0.07909604519774012,0.3446327683615819,0.10734463276836158,0.03954802259887006,2018
0.481651376146789,0.027522935779816515,0.38073394495412843,0.10550458715596331,0.0045871559633027525,2019
0.39864864864864863,0.05405405405405406,0.3783783783783784,0.14189189189189189,0.02702702702702703,2020
