year,definition,communities_1,communities_2,communities_3,communities_4,communities_5
1964,Partial_def,1,0,1,0,0
1965,Partial_def,1,0,0,0,0
1966,Partial_def,0,0,1,0,0
1967,Full_def,0,1,0,0,0
1967,Partial_def,1,0,1,0,0
1968,Partial_def,0,3,3,0,0
1969,Partial_def,1,0,2,1,0
1970,Partial_def,0,2,1,0,0
1970,no_def,2,1,0,0,0
1971,Full_def,0,1,0,0,0
1971,Partial_def,1,1,2,0,0
1972,Partial_def,0,0,3,0,0
1972,no_def,0,1,0,0,0
1973,Partial_def,2,4,3,0,0
1973,no_def,1,0,0,0,0
1974,Partial_def,1,1,8,1,0
1974,no_def,0,1,1,0,0
1975,Partial_def,3,2,5,1,1
1976,Partial_def,1,4,6,0,0
1977,Partial_def,5,3,5,1,0
1978,Partial_def,1,3,7,0,0
1978,no_def,2,0,0,0,0
1979,Partial_def,2,3,14,0,0
1979,no_def,0,0,1,0,0
1980,Partial_def,1,2,15,0,0
1981,Partial_def,1,0,5,0,0
1982,Partial_def,1,1,2,0,0
1983,Partial_def,0,2,4,0,0
1984,Partial_def,5,3,1,2,0
1984,no_def,0,0,1,0,0
1985,Partial_def,2,4,1,0,0
1986,Partial_def,5,4,8,0,0
1987,Partial_def,4,6,1,0,0
1988,Full_def,1,0,0,0,0
1988,Partial_def,1,5,3,0,1
1988,no_def,0,0,1,0,0
1989,Full_def,0,1,0,0,0
1989,Partial_def,3,5,1,1,0
1990,Partial_def,1,4,3,1,0
1991,Partial_def,0,5,5,0,0
1992,Full_def,1,0,0,0,0
1992,Partial_def,2,3,2,0,0
1992,no_def,1,0,0,1,0
1993,Full_def,0,0,1,0,0
1993,Partial_def,5,2,8,0,0
1993,no_def,0,0,1,0,0
1994,Partial_def,4,7,7,1,0
1995,Partial_def,7,5,5,1,0
1996,Partial_def,9,10,5,1,0
1997,Full_def,1,0,0,0,0
1997,Partial_def,11,7,2,0,1
1997,no_def,0,0,1,0,0
1998,Full_def,1,1,0,0,0
1998,Partial_def,7,6,4,2,0
1998,no_def,0,0,1,0,0
1999,Full_def,1,0,0,0,0
1999,Partial_def,9,4,7,1,0
1999,no_def,0,0,0,1,0
2000,Full_def,2,0,0,1,0
2000,Partial_def,11,2,1,2,0
2000,no_def,1,0,0,0,0
2001,Full_def,2,1,0,0,0
2001,Partial_def,11,8,2,3,0
2001,no_def,2,0,0,0,0
2002,Full_def,1,1,0,0,0
2002,Partial_def,4,4,5,8,1
2003,Full_def,1,0,0,1,0
2003,Partial_def,9,4,6,3,1
2003,no_def,0,1,0,0,0
2004,Full_def,2,1,0,1,0
2004,Partial_def,9,6,5,6,0
2004,no_def,1,0,0,0,0
2005,Full_def,2,1,0,0,0
2005,Partial_def,8,9,8,6,0
2006,Full_def,1,0,0,0,0
2006,Partial_def,13,5,13,2,1
2006,no_def,0,0,3,0,0
2007,Full_def,4,1,0,0,0
2007,Partial_def,18,9,4,5,0
2007,no_def,1,0,1,0,0
2008,Full_def,4,1,0,0,0
2008,Partial_def,31,7,8,6,3
2008,no_def,2,1,2,0,0
2009,Full_def,2,0,1,0,0
2009,Partial_def,22,8,5,1,1
2009,no_def,3,1,1,1,0
2010,Full_def,3,0,1,1,0
2010,Partial_def,16,8,10,10,2
2010,no_def,2,0,0,0,0
2011,Full_def,6,0,1,0,0
2011,Partial_def,15,4,9,4,4
2011,no_def,0,0,1,0,0
2012,Full_def,5,1,0,0,0
2012,Partial_def,29,6,10,5,2
2012,no_def,5,1,1,0,0
2013,Full_def,4,0,4,1,0
2013,Partial_def,27,4,8,9,2
2013,no_def,1,0,3,1,0
2014,Full_def,4,0,1,2,0
2014,Partial_def,13,3,11,3,2
2014,no_def,5,6,0,4,0
2015,Full_def,7,1,3,1,0
2015,Partial_def,23,7,13,5,3
2015,no_def,3,1,2,0,0
2016,Full_def,6,1,1,0,0
2016,Partial_def,39,8,15,4,0
2016,no_def,8,0,4,1,0
2017,Full_def,7,0,4,2,0
2017,Partial_def,39,10,31,11,2
2017,no_def,4,4,2,1,0
2018,Full_def,7,2,15,2,0
2018,Partial_def,46,5,24,9,0
2018,no_def,6,1,12,4,0
2019,Full_def,8,0,10,1,0
2019,Partial_def,25,4,13,14,0
2019,no_def,10,3,16,1,1
2020,Full_def,0,0,1,0,0
2020,Partial_def,0,0,1,0,0
2020,no_def,30,5,23,6,0
